"","condition","happy","depressed","fear","angry","calm","sounds","seeing","temperature","odors","depth","computations","thoughts","reasoning","remembering","beliefs","hungry","tired","pain","nauseated","safe","love","recognizing","communicating","guilt","disrespected","free_will","choices","self_restraint","intentions","goal","conscious","self_aware","desires","embarrassed","emo_recog","joy","morality","personality","pleasure","pride"
"345","robot",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"346","beetle",1,-3,2,2,2,3,3,3,3,3,-1,3,3,3,-2,3,2,3,1,3,-3,1,3,-3,-3,1,3,-2,3,3,3,3,3,-2,-3,2,-3,-1,3,-2
"347","robot",-3,-3,-3,-3,-3,3,-1,3,3,-3,3,-3,3,2,-3,-3,-3,-3,-3,-3,-3,3,2,-3,-3,-3,1,-3,-3,-2,-3,-2,-3,-3,0,-3,-3,-3,-3,-3
"348","beetle",2,1,3,2,2,0,3,3,3,2,0,3,2,3,0,3,3,2,0,2,2,0,3,0,0,2,3,2,2,3,3,1,3,0,0,2,0,2,2,0
"349","robot",-3,-3,-3,-3,-3,0,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"350","robot",-3,-3,-3,-3,-3,3,3,3,3,3,3,-3,0,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,0,-3,-3,3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3
"351","robot",-1,-2,-1,-2,-1,0,1,-1,0,0,3,-1,-1,1,-2,-3,-3,-2,-2,0,-1,-1,0,-2,-1,-1,0,0,-1,0,0,0,-2,-2,-2,-2,-1,0,-2,-2
"352","robot",-3,-3,-3,-3,-3,2,3,3,-3,-1,3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,1,-3,-3,3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3
"353","beetle",-3,-3,-3,-2,-2,-3,-1,-2,-2,-3,-3,-3,-3,-3,-3,-1,-1,-1,-3,0,-3,-3,-2,-3,-3,-1,-2,-3,-2,-3,-1,-2,0,-3,-3,-2,-3,-3,-2,-3
"354","robot",-2,-3,-1,-2,-1,3,1,3,2,3,3,-1,1,3,-2,-3,-1,-3,-3,-3,-3,3,0,-3,-3,-1,1,-2,-2,2,-2,-2,-3,-2,-3,-3,-2,-2,-3,-2
"355","beetle",-1,-2,2,-1,1,2,1,2,2,-1,-3,-1,-2,-2,-2,2,2,2,-1,2,-2,0,2,-2,-1,1,0,0,1,2,2,-1,0,-3,-2,-1,-1,-2,0,-2
"356","beetle",-3,-3,-1,1,-1,0,0,-2,0,-1,-3,-2,-2,-3,-3,2,-1,0,-2,-2,-3,0,-1,-3,-3,-2,-2,-3,0,-1,-3,-1,-3,-3,-3,-3,-3,-3,-1,-3
"357","beetle",-1,-3,-2,-2,-1,-2,-2,0,-2,-2,-1,-3,-3,-2,-3,0,-3,-1,-2,-3,-2,-3,-2,-3,-3,-3,-2,-2,-2,-2,-1,-2,-2,-3,-2,-3,-2,-3,-2,-3
"358","robot",-3,-3,-3,-3,-3,3,1,2,2,-3,3,-3,0,0,-3,-3,-3,-3,-3,-3,-3,0,1,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
